,gamma,m_0,w_LTE,w_LTR,err_r,R_squared
21111.0,0.7342231,0.5551296,0.010275432,0.0022027262,0.0012036209981441913,0.5891922718609834
22293.0,0.7341223,0.51176757,0.003069558,0.0024546722,0.00045466264201146167,0.47377009026451256
22658.0,0.7336782,0.5934014,0.008730227,0.011710775,0.0044177542026613715,0.7082685482764395
22694.0,0.7348661,0.597902,0.021725722,0.008666408,0.003719040757518067,0.8766209952572253
22695.0,0.735713,0.40894368,0.025103271,0.011891214,0.004317200397009698,0.8775316343074308
22812.0,0.7341037,0.9340199,0.0041918773,0.0010192924,0.003448714555621013,0.3305488956822292
23490.0,0.7338692,0.9309234,0.0007326344,0.0010073204,0.000605530198667363,-1.6714567588266136
23520.0,0.73452336,0.13697813,0.021102052,0.0013290942,0.02682803839014578,0.06785593307578708
23540.0,0.7341392,0.5108826,0.0034824947,0.0005754942,0.00017338488821007754,0.0605273968147525
23550.0,0.73413783,0.7171859,0.0029437558,0.00057769706,0.0009106635799354135,0.19615807969608445
23593.0,0.734268,0.40809682,0.02261193,0.018347064,0.005447471337042806,0.8461306345832136
23607.0,0.7354636,0.356185,0.022634614,0.008466957,0.01343468077437376,0.6239417557907976
23641.0,0.73414236,0.49474522,0.00089113537,0.00011780809,1.3026467606843302e-05,-inf
23656.0,0.7341043,0.9660722,0.00041126844,0.0017760705,0.00046093656356434,0.6900688029825128
23672.0,0.7340027,0.43832853,0.008161078,0.0035424186,0.0005293131112473459,0.75531265081791
23693.0,0.7340864,0.7711243,0.0021525212,0.0010892213,0.001512768498614566,0.25767861689487515
23732.0,0.7341206,0.50100636,0.0025763086,0.0013910286,0.00044331910140554587,0.45826586386287693
23757.0,0.7340026,-0.029214183,0.011964878,0.0013629918,0.005664052954981181,0.03286959352614105
23777.0,0.7341018,0.5868106,0.0015237102,0.003346677,0.0008277245911591593,0.6079405652106502
23780.0,0.7341329,0.90371287,0.0005125239,0.00219869,0.0003176333828943858,0.7403305980516421
23809.0,0.7339966,0.45209378,0.012840607,0.009077023,0.002296910229678374,0.8364088785098298
23911.0,0.7341093,0.62806094,0.02018831,0.0060188095,0.0031047970157908364,0.8763488869029775
23927.0,0.7341561,0.7101963,0.0022343022,0.00043202165,0.00031244272102211307,0.2799015392576152
23951.0,0.73411083,0.6158673,0.0055038235,0.0011498071,0.0009770831617516257,0.3885162050090655
23999.0,0.7348897,0.41799372,0.025455527,0.0036242665,0.004052303833067387,0.6277128894532025
24071.0,0.73324364,0.41783416,0.0072833016,0.007947338,0.006172017200363194,0.5376381321519164
24085.0,0.7341016,0.6360119,0.0034782353,0.0003993517,0.002729988375718911,-0.019963277075437214
24103.0,0.7341146,0.49205112,0.00960618,0.005108207,0.0019878858514973795,0.6795397971757255
24128.0,0.73405147,0.6910716,0.0055018337,0.0022557,0.0013867429682359492,0.598962542523584
24138.0,0.7343319,0.5791135,0.009051356,0.014986903,0.005004245782209676,0.8866121724553138
24169.0,0.73389226,0.8342057,0.0065593584,0.00086841424,0.0009442836650496046,0.5973013179754343
24172.0,0.7341329,0.5734215,0.0024552764,0.000771526,0.0012322444984639394,0.19897432385876057
24175.0,0.7339785,0.5387499,0.0012660943,0.0014913802,0.004010650953831842,-0.1386346987314777
24185.0,0.7348885,0.54186034,0.020635752,0.011825104,0.0034348635057201075,0.8790919448080375
24201.0,0.7341329,0.8020847,0.0088466685,0.003613388,0.0016630680346784016,0.8118606728329024
24208.0,0.7358228,0.41215202,0.027914077,0.019195475,0.020746676499114037,0.7864152175744934
24213.0,0.7318079,0.5888678,0.0053237868,0.015037337,0.0217724397587461,0.5658093927181791
24216.0,0.73273194,0.46877378,0.011728494,0.014662731,0.01655260063152244,0.5657005256728415
24223.0,0.7340674,0.96723676,0.0026560358,0.0021362414,0.0003784529914834817,0.8162453105658538
24225.0,0.7346921,0.6461462,0.013592927,0.008660157,0.0027927744984285294,0.7983798942296814
24227.0,0.7341764,0.42264307,0.0077805608,0.0005289703,0.0005972226385879924,0.46255336993381346
24229.0,0.73419076,0.47213072,0.00036511698,0.0011387317,0.0010574207611333728,0.06109048439222986
24232.0,0.7348913,0.48598364,0.021490207,0.006177942,0.0024611820341356094,0.8932087633438411
24235.0,0.7326265,0.60283434,0.015989074,0.01286018,0.006823675011540099,0.8079911360069381
24238.0,0.73410904,0.94067854,0.0009361018,0.001791492,0.0005050889456910751,0.5825327843493728
24247.0,0.7341539,0.73671824,4.91488e-05,0.00012419884,0.001574973522180493,-0.03465413865871758
24252.0,0.734149,0.5642821,0.0011284632,0.00035986732,0.00013471063368247782,-1.1307481601798077
24259.0,0.7341673,0.3775914,0.009431957,0.000740241,0.0003191310313260365,0.8545658371596371
24263.0,0.73655534,0.34896952,0.033523697,0.014844995,0.007727080553516042,0.8888822269313639
24267.0,0.7341875,0.9992309,0.00021445041,5.379426e-05,4.097717089261247e-06,-inf
24269.0,0.7340126,0.8490376,0.0010220085,0.0007954566,0.0010110054523401078,-0.0182463150247274
24281.0,0.73409104,0.54386675,0.0045543523,0.00141936,0.0006915291206022906,0.5306363434826081
24286.0,0.7339714,0.381773,0.010918051,0.00055516174,0.012710105598657016,0.12928578745042374
24287.0,0.7341432,0.50555897,0.0071796044,0.000557606,0.0006644728298354096,0.3625140743504227
24295.0,0.7342007,0.59240264,0.0039734887,0.0026654548,0.0009760550030409727,0.4032677788622546
